Date,Open,High,Low,Close,Adj Close,Volume
2019-02-22,478.688324,483.713928,471.778137,471.778137,356.142273,9710272
2019-02-25,478.688324,478.688324,471.149933,471.149933,355.668030,5984964
2019-02-26,472.406342,485.598541,467.380737,467.380737,352.822693,10970911
2019-02-27,454.816742,457.957733,430.945129,434.714355,328.163055,17641902
2019-03-04,434.714355,439.111755,428.432343,439.111755,331.482605,7501829
2019-03-05,434.714355,434.714355,427.175934,427.175934,322.472382,5071372
2019-03-06,428.432343,435.970734,425.291351,426.547729,321.998108,4592804
2019-03-07,428.432343,430.316956,411.470947,422.150330,318.678589,5572736
2019-03-08,414.611938,424.034943,412.099152,422.778534,319.152771,5612968
2019-03-11,417.752930,427.175934,415.868347,426.547729,321.998108,4505489
2019-03-12,429.688751,432.201538,417.124756,417.124756,314.884796,7182013
2019-03-13,419.009338,424.663147,415.240143,424.663147,320.575470,3579498
2019-03-14,425.919556,430.316956,418.381134,425.919556,321.523926,6060240
2019-03-15,432.829742,447.278351,432.201538,434.086151,327.688812,15481019
2019-03-18,440.996338,441.624542,428.432343,428.432343,323.420807,6061734
2019-03-19,429.060547,430.945129,417.124756,419.009338,316.307434,6059333
2019-03-20,420.265747,424.034943,417.124756,420.265747,317.255920,5169715
2019-03-21,421.522156,422.150330,417.752930,420.265747,317.255920,3929507
2019-03-22,424.034943,427.175934,415.868347,415.868347,313.936310,6420185
2019-03-25,403.932556,405.188934,396.394135,399.535156,301.606506,7428043
2019-03-26,402.047943,407.073547,402.047943,405.817139,306.348724,4338306
2019-03-27,408.329956,410.214539,403.304352,407.073547,307.297211,4210223
2019-03-28,407.073547,408.958130,404.560760,404.560760,305.400330,1928896
2019-03-29,408.329956,410.842743,405.817139,405.817139,306.348724,3145849
2019-04-01,410.214539,410.842743,400.791534,403.304352,304.451843,3443967
2019-04-02,403.932556,408.329956,400.791534,402.047943,303.503387,3647666
2019-04-03,403.304352,419.009338,402.047943,414.611938,312.987885,8929148
2019-04-08,422.150330,424.034943,407.073547,407.701752,307.771423,8332943
2019-04-09,409.586334,422.150330,406.445343,414.611938,312.987885,10577132
2019-04-10,415.240143,415.240143,410.842743,413.355530,312.039398,4792429
2019-04-11,418.381134,424.034943,412.099152,413.355530,312.039398,8192710
2019-04-12,419.637543,419.637543,408.958130,409.586334,309.194092,4468546
2019-04-15,413.983734,417.752930,412.727356,415.240143,313.462128,3762911
2019-04-16,418.381134,420.893951,414.611938,417.752930,315.358978,5286845
2019-04-17,422.150330,437.855347,421.522156,433.457947,327.214600,16528574
2019-04-18,437.227142,439.739929,415.240143,415.868347,313.936310,13807854
2019-04-19,420.893951,420.893951,410.214539,419.009338,316.307434,6711924
2019-04-22,422.150330,423.406738,410.842743,411.470947,310.616730,5968258
2019-04-23,411.470947,411.470947,400.791534,403.932556,304.926086,6459275
2019-04-24,405.817139,406.445343,399.535156,401.419739,303.029205,4869113
2019-04-25,383.201935,403.932556,380.689148,403.932556,304.926086,11126609
2019-04-26,398.278748,406.445343,394.509552,400.791534,302.554932,5693287
2019-04-29,393.253143,396.394135,375.663544,377.548157,285.008667,13071334
2019-04-30,377.548157,383.201935,375.035339,382.573761,288.802460,5100818
2019-05-02,381.945557,382.573761,376.919952,381.317352,287.854004,3818590
2019-05-03,380.060944,381.945557,370.637939,376.919952,284.534424,7253762
2019-05-06,366.868744,372.522552,365.612366,368.753357,278.369537,5831254
2019-05-07,370.637939,375.035339,368.125153,368.125153,277.895325,4842954
2019-05-08,364.355957,370.009735,359.330353,370.009735,279.317932,7079314
2019-05-09,366.868744,368.753357,358.702148,359.330353,271.256165,5251282
